,OECD,NONOECD,APEC,ASEAN,EASIA,EU28,EU15,EU13,EA18,EA12,ZEUR,ZASI,NAFTA,ZOTH,ZSCA,WOR,DXD
AUS,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
AUT,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
BEL,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
CAN,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CHL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CZE,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
DNK,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
EST,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
FIN,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
FRA,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
DEU,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
GRC,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
HUN,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
ISL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
IRL,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
ISR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ITA,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
JPN,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
KOR,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
LUX,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
MEX,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
NLD,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
NZL,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NOR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
POL,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
PRT,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
SVK,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
SVN,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
ESP,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
SWE,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
CHE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
TUR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
GBR,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
USA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ARG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
BGR,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
BRA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
BRN,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
CHN,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
COL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CRI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CYP,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
HKG,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
HRV,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
IDN,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
IND,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
KHM,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
LTU,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
LVA,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
MLT,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
MYS,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
PHL,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ROU,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
RUS,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
SAU,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
SGP,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
THA,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
TUN,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
TWN,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
VNM,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ZAF,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ROW,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
